EGRESOS HANDBALL 2024,,,,,,,,
,,,,,SALDO,,,
,EGRESOS:,"$8,751,021.11 ",,,"($1,499,153.12)",,,
,,,,,,,,
FECHA,DESCRIPCIÓN,MONTO,M. DE PAGO,,,,,
22/8/2024,Seguro AP,"$125,130.00 ",Transferencia,, ,,,
22/8/2024,AMPAT,"$11,500.00 ",Transferencia, ,,,,
22/8/2024,Ajuste cuentas,"$12,000.00 ",Transferencia,,,,,
27/8/2024,Gastos Locacion,"$4,500.00 ",Transferencia,,,,,
30/8/2024,Salarios,"$163,000.00 ",Transferencia,,,,,
3/9/2024,Gastos Locacion,"$4,000.00 ",Transferencia,,,,,
11/9/2024,Ajuste cuentas,"$90,000.00 ",Transferencia,,,,,
11/9/2024,Materiales,"$32,900.00 ",Transferencia,,,,,
18/9/2024,Salarios,"$780,000.00 ",Transferencia,,,,,
18/9/2024,Salarios,"$85,000.00 ",Transferencia,$16.000 dse devuelve con ganancia de eventos,,,,
18/9/2024,Salarios,"$20,000.00 ",Efectivo,,,,,
18/9/2024,Seguro RC,"$1,557.00 ",Transferencia,,,,,
18/9/2024,Seguro AP,"$125,895.00 ",Transferencia,,,,,127452-1557
18/9/2024,AMPAT,"$11,500.00 ",Transferencia,,,,,
19/9/2024,Gastos Locacion,"$39,600.00 ",Transferencia,,,,,
19/9/2024,Eventos,"$5,000.00 ",Transferencia,,,,,
18/10/2024,Salarios,"$780,000.00 ",Transferencia,,,,,
18/10/2024,Salarios,"$105,000.00 ",Transferencia,,,,,
1/10/2024,Salarios,"$200,000.00 ",Transferencia,,,,,
1/10/2024,Materiales,"$61,301.64 ",Transferencia,,,,,
31/10/2024,Gastos Locacion,"$7,500.00 ",transferencia,,,,,
